"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,Sweetness,Price,Fat Content,"Broad Bean
Origin"
Amedei,Chuao,111,2007,70,Italy,5,50,18,8,Venezuela
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72,U.S.A.,4,50,12,8,Belize
Rogue,"Silvestre, Batch 7, 2013",1081,2013,75,U.S.A.,4,74,15,10,Bolivia
Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",1744,2016,72,U.S.A.,4,51,10,7,Bolivia
Felchlin,"Alto Beni, Cru Savage",56,2006,68,Switzerland,4,53,14,7,Bolivia
Bonnat,Kaori,1339,2014,75,France,4,74,11,7,Brazil
L.A. Burdick (Felchlin),Brazil,891,2012,70,U.S.A.,4,64,10,7,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60,Brazil,4,69,14,7,Brazil
Pacari,"Sierra Nevada, Tutu Iku",1848,2016,70,Ecuador,4,70,12,10,Colombia
Willie's Cacao,Los Llanos,1848,2016,70,U.K.,4,72,15,10,Colombia
Santander (Compania Nacional),Colombian Dark,32,2006,70,Colombia,4,59,11,8,Colombia
Arete,"Coto Brus, Terciopelo",1908,2016,70,U.S.A.,4,54,11,7,Costa Rica
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,74,U.S.A.,4,62,12,10,Costa Rica
Amano,Guayas,470,2010,70,U.S.A.,4,60,10,10,Ecuador
Beschle (Felchlin),Ecuador,636,2011,72,Switzerland,4,60,13,7,Ecuador
Durci,Corona Arriba,1630,2015,70,U.S.A.,4,52,11,8,Ecuador
Pacari,Tangara,1415,2014,70,Ecuador,4,70,15,10,Ecuador
"Smooth Chocolator, The",Camino Verde,1622,2015,72,Australia,4,74,11,9,Ecuador
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,70,Australia,4,69,12,8,Ecuador
Pralus,Fortissima,93,2006,80,France,4,66,14,7,Ecuador
Domori,Ecuador,192,2007,70,Italy,4,67,15,8,Ecuador
Benoit Nihant,Rio Peripa H.,1141,2013,73,Belgium,4,51,13,10,Ecuador
Georgia Ramon,ABOCFA Coop,1642,2015,70,Germany,4,60,13,9,Ghana
Scharffen Berger,Asante,336,2009,65,U.S.A.,4,61,11,10,Ghana
Danta,Las Acacias E.,987,2012,70,Guatemala,4,54,14,7,Guatemala
Duffy's,"Rio Dulce, Xoco",1662,2015,70,U.K.,4,61,14,9,Guatemala
Artisan du Chocolat,Haiti,729,2011,72,U.K.,4,74,15,7,Haiti
Bonnat,Haiti,629,2011,75,France,4,54,11,7,Haiti
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72,Belgium,4,74,12,8,Indonesia
Pralus,Jamaique,32,2006,75,France,4,71,10,10,Jamaica
Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,70,Canada,4,63,13,8,Jamaica
Bonnat,"Madagascar, 100 criollo",629,2011,75,France,4,73,13,7,Madagascar
Valrhona,Manjari,129,2007,64,France,4,60,14,8,Madagascar
Bonnat,Madagascar,75,2006,75,France,4,60,12,9,Madagascar
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,74,U.S.A.,4,70,12,10,Madagascar
Madecasse (Cinagra),Madagascar,284,2008,63,Madagascar,4,74,11,8,Madagascar
Matale,"Somia, 2013",1177,2013,68,Australia,4,53,15,7,Madagascar
Michel Cluizel,Mangaro P.,24,2006,65,France,4,68,14,7,Madagascar
Patric,Madagascar,331,2009,75,U.S.A.,4,68,11,7,Madagascar
Patric,Madagascar,196,2007,70,U.S.A.,4,51,11,10,Madagascar
Pierre Marcolini,"Sambirano, Ambanja, Madagascar",141,2007,72,Belgium,4,61,11,9,Madagascar
Ritual,Sambirano,891,2012,75,U.S.A.,4,57,10,10,Madagascar
Amedei,Madagascar,123,2007,70,Italy,4,63,11,8,Madagascar
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70,Spain,4,59,15,7,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70,Spain,4,65,11,8,Mexico
Pierre Marcolini,"Porcelana, Tabasco, Limited Ed.",81,2006,72,Belgium,4,70,14,7,Mexico
Arete,Chuno,1598,2015,70,U.S.A.,4,71,15,9,Nicaragua
A. Morin,Pablino,1319,2014,70,France,4,71,15,10,Peru
A. Morin,Chanchamayo Province,1019,2013,63,France,4,73,11,9,Peru
Just Good Chocolate,Peru,1375,2014,70,U.S.A.,4,65,10,7,Peru
Pacari,Piura,863,2012,70,Ecuador,4,55,15,9,Peru
Patric,"Piura, Choc. Garage Exclusive",1034,2013,67,U.S.A.,4,50,15,10,Peru
Scharffen Berger,San Juan de Cheni,959,2012,78,U.S.A.,4,62,15,7,Peru
Soma,Peruvian,676,2011,64,Canada,4,55,10,8,Peru
Valrhona,"Piura, Illanka, Quemazon",1510,2015,63,France,4,60,12,8,Peru
Ocelot,Piura,1558,2015,75,Scotland,4,75,13,7,Peru
Arete,Phantom,1924,2016,70,U.S.A.,4,71,13,7,Peru
Bar Au Chocolat,Maranon Canyon,1295,2014,70,U.S.A.,4,70,12,7,Peru
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70,U.S.A.,4,69,13,9,Peru
Claudio Corallo,Terreiro Velho P.,227,2008,75,Sao Tome,4,65,14,9,Sao Tome & Principe
Valrhona,Guanaja,63,2006,70,France,4,74,15,7,South America
Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,70,U.K.,4,57,12,7,St. Lucia
Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,70,France,4,54,10,7,Tobago
Bonnat,"Ocumare, Puerto Cabello",32,2006,75,France,4,71,15,10,Venezuela
Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",737,2011,72,Switzerland,4,63,14,7,Venezuela
Soma,Porcelana,1594,2015,75,Canada,4,62,10,8,Venezuela
Valrhona,"Otucan, Grand Cru",931,2012,69,France,4,53,10,7,Venezuela
Woodblock,Ocumare,741,2011,70,U.S.A.,4,51,13,10,Venezuela
Bonnat,"Maracaibo, El Rosario",48,2006,75,France,4,53,11,8,Venezuela
Idilio (Felchlin),"Porcelana, Zulia",733,2011,74,Switzerland,4,65,12,7,Venezuela
Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,72,Switzerland,4,73,14,9,Venezuela
Pierre Marcolini,"Ocumare, Puerto Cabello, Venezuela",93,2006,72,Belgium,4,66,15,7,Venezuela
Soma,"Maracaibo, El Vigia",1077,2013,70,Canada,4,52,15,10,Venezuela
Valrhona,"Porcelana, Pedegral",757,2011,64,France,4,55,13,9,Venezuela
Domori,"Ocumare 67, Puertofino",192,2007,70,Italy,4,51,14,9,Venezuela
Amedei,Porcelana,111,2007,70,Italy,4,67,14,9,Venezuela
Bonnat,"Porcelana, Venezuela",199,2008,75,France,4,55,15,7,Venezuela
Domori,Porcelana,111,2007,70,Italy,4,52,10,8,Venezuela
A. Morin,Chuao,1015,2013,70,France,4,73,10,7,Venezuela
